annotation_id,filename,geometry,annotation_class,us_jpeg_url,eu_jpeg_url,asia_jpeg_url
C12_B132_S12_0,C12_B132_S12.tif,"POLYGON ((6841.545826602569 25115.95846423323, 6841.545826602569 26420.29849218634, 8145.885854555685 26420.29849218634, 8145.885854555685 25115.95846423323, 6841.545826602569 25115.95846423323))",2,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_0.jpeg
C12_B132_S12_1,C12_B132_S12.tif,"POLYGON ((21160.89643394331 5227.765521589301, 21160.89643394331 6532.105549542417, 22465.23646189642 6532.105549542417, 22465.23646189642 5227.765521589301, 21160.89643394331 5227.765521589301))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_1.jpeg
C12_B132_S12_2,C12_B132_S12.tif,"POLYGON ((21181.75570167745 9451.447740526395, 21181.75570167745 10755.78776847951, 22486.09572963056 10755.78776847951, 22486.09572963056 9451.447740526395, 21181.75570167745 9451.447740526395))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_2.jpeg
C12_B132_S12_3,C12_B132_S12.tif,"POLYGON ((20161.81391461581 7328.814526030143, 20161.81391461581 8633.154553983259, 21466.15394256893 8633.154553983259, 21466.15394256893 7328.814526030143, 20161.81391461581 7328.814526030143))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_3.jpeg
C12_B132_S12_4,C12_B132_S12.tif,"POLYGON ((37151.82998602344 26219.82998602345, 37151.82998602344 27524.17001397656, 38456.17001397656 27524.17001397656, 38456.17001397656 26219.82998602345, 37151.82998602344 26219.82998602345))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_4.jpeg
C12_B132_S12_5,C12_B132_S12.tif,"POLYGON ((43223.02998602344 21053.62998602345, 43223.02998602344 22357.97001397656, 44527.37001397656 22357.97001397656, 44527.37001397656 21053.62998602345, 43223.02998602344 21053.62998602345))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_5.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_5.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_5.jpeg
C13_B151_S11_0,C13_B151_S11.tif,"POLYGON ((181871.9318657945 210139.1318657945, 181871.9318657945 211376.0681342055, 183108.8681342055 211376.0681342055, 183108.8681342055 210139.1318657945, 181871.9318657945 210139.1318657945))",2,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B151_S11_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B151_S11_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B151_S11_0.jpeg
C13_B151_S11_1,C13_B151_S11.tif,"POLYGON ((182847.9318657945 211939.1318657945, 182847.9318657945 213176.0681342055, 184084.8681342055 213176.0681342055, 184084.8681342055 211939.1318657945, 182847.9318657945 211939.1318657945))",2,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B151_S11_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B151_S11_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B151_S11_1.jpeg
C06_B108_S21_0,C06_B108_S21.tif,"POLYGON ((68251.71498739524 23183.71498739524, 68251.71498739524 24504.28501260476, 69572.28501260476 24504.28501260476, 69572.28501260476 23183.71498739524, 68251.71498739524 23183.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B108_S21_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B108_S21_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B108_S21_0.jpeg
C06_B108_S21_1,C06_B108_S21.tif,"POLYGON ((68907.71498739524 20479.71498739524, 68907.71498739524 21800.28501260476, 70228.28501260476 21800.28501260476, 70228.28501260476 20479.71498739524, 68907.71498739524 20479.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B108_S21_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B108_S21_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B108_S21_1.jpeg
C06_B108_S21_2,C06_B108_S21.tif,"POLYGON ((66171.71498739524 15263.71498739524, 66171.71498739524 16584.28501260476, 67492.28501260476 16584.28501260476, 67492.28501260476 15263.71498739524, 66171.71498739524 15263.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B108_S21_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B108_S21_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B108_S21_2.jpeg
C06_B108_S21_3,C06_B108_S21.tif,"POLYGON ((62027.71498739524 17535.71498739524, 62027.71498739524 18856.28501260476, 63348.28501260476 18856.28501260476, 63348.28501260476 17535.71498739524, 62027.71498739524 17535.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B108_S21_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B108_S21_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B108_S21_3.jpeg
C06_B108_S21_4,C06_B108_S21.tif,"POLYGON ((61803.71498739524 20607.71498739524, 61803.71498739524 21928.28501260476, 63124.28501260476 21928.28501260476, 63124.28501260476 20607.71498739524, 61803.71498739524 20607.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B108_S21_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B108_S21_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B108_S21_4.jpeg
C13_B156_S11_0,C13_B156_S11.tif,"POLYGON ((36597.53186579447 234365.5318657945, 36597.53186579447 235602.4681342055, 37834.46813420553 235602.4681342055, 37834.46813420553 234365.5318657945, 36597.53186579447 234365.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B156_S11_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B156_S11_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B156_S11_0.jpeg
C13_B156_S11_1,C13_B156_S11.tif,"POLYGON ((48149.53186579447 234013.5318657945, 48149.53186579447 235250.4681342055, 49386.46813420553 235250.4681342055, 49386.46813420553 234013.5318657945, 48149.53186579447 234013.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B156_S11_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B156_S11_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B156_S11_1.jpeg
C13_B156_S11_2,C13_B156_S11.tif,"POLYGON ((44725.53186579447 234365.5318657945, 44725.53186579447 235602.4681342055, 45962.46813420553 235602.4681342055, 45962.46813420553 234365.5318657945, 44725.53186579447 234365.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B156_S11_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B156_S11_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B156_S11_2.jpeg
C13_B156_S11_3,C13_B156_S11.tif,"POLYGON ((41589.53186579447 235549.5318657945, 41589.53186579447 236786.4681342055, 42826.46813420553 236786.4681342055, 42826.46813420553 235549.5318657945, 41589.53186579447 235549.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B156_S11_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B156_S11_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B156_S11_3.jpeg
